"Leto","Mesec","Dan","Datum smrti","Starostna skupina","Spol","Starostna skupina COUNT","Pristojna UE","Upravna enota"
"2020","Januar","01/01/2020","01/01/2020","8. Več kot 71 let","Ž",3,3,"Celje"
,,,"01/01/2020","7. Od 61-71 let","Ž",1,3,"Celje"
,,,"01/01/2020","8. Več kot 71 let","M",2,3,"Celje"
,,,"01/01/2020","8. Več kot 71 let","M",1,4,"Cerknica"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,5,"Črnomelj"
,,,"01/01/2020","6. Od 51-61 let","M",1,5,"Črnomelj"
,,,"01/01/2020","8. Več kot 71 let","M",1,5,"Črnomelj"
,,,"01/01/2020","7. Od 61-71 let","M",1,13,"Izola"
,,,"01/01/2020","8. Več kot 71 let","M",3,13,"Izola"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,13,"Izola"
,,,"01/01/2020","3. Od 18-31 let","M",1,15,"Kamnik"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,17,"Koper"
,,,"01/01/2020","7. Od 61-71 let","M",2,18,"Kranj"
,,,"01/01/2020","8. Več kot 71 let","M",3,18,"Kranj"
,,,"01/01/2020","8. Več kot 71 let","M",1,19,"Krško"
,,,"01/01/2020","4. Od 31-41 let","M",1,19,"Krško"
,,,"01/01/2020","8. Več kot 71 let","Ž",2,22,"Lendava"
,,,"01/01/2020","5. Od 41-51 let","M",1,24,"Ljubljana"
,,,"01/01/2020","8. Več kot 71 let","M",6,24,"Ljubljana"
,,,"01/01/2020","8. Več kot 71 let","Ž",5,24,"Ljubljana"
,,,"01/01/2020","3. Od 18-31 let","Ž",1,24,"Ljubljana"
,,,"01/01/2020","7. Od 61-71 let","M",2,24,"Ljubljana"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,30,"Logatec"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,34,"Metlika"
,,,"01/01/2020","8. Več kot 71 let","Ž",2,36,"Murska Sobota"
,,,"01/01/2020","8. Več kot 71 let","M",1,37,"Nova Gorica"
,,,"01/01/2020","8. Več kot 71 let","M",1,38,"Novo mesto"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,38,"Novo mesto"
,,,"01/01/2020","6. Od 51-61 let","M",1,42,"Ptuj"
,,,"01/01/2020","8. Več kot 71 let","M",1,42,"Ptuj"
,,,"01/01/2020","7. Od 61-71 let","M",1,44,"Radovljica"
,,,"01/01/2020","6. Od 51-61 let","M",1,44,"Radovljica"
,,,"01/01/2020","7. Od 61-71 let","Ž",1,44,"Radovljica"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,49,"Slovenj Gradec"
,,,"01/01/2020","8. Več kot 71 let","Ž",1,52,"Šentjur pri Celju"
,,,"01/01/2020","7. Od 61-71 let","M",1,59,"Velenje"
,,,"01/01/2020","5. Od 41-51 let","M",1,59,"Velenje"
,,,"01/01/2020","8. Več kot 71 let","M",2,59,"Velenje"
,,,"01/01/2020","8. Več kot 71 let","Ž",2,59,"Velenje"
,,,"01/01/2020","8. Več kot 71 let","Ž",3,64,"Maribor"
,,,"01/01/2020","4. Od 31-41 let","M",1,64,"Maribor"
,,,"01/01/2020","8. Več kot 71 let","M",2,64,"Maribor"
,,,"01/01/2020","6. Od 51-61 let","M",1,64,"Maribor"
,,,"01/01/2020","7. Od 61-71 let","M",2,64,"Maribor"
"2020","Januar","02/01/2020","02/01/2020","8. Več kot 71 let","Ž",2,3,"Celje"
,,,"02/01/2020","8. Več kot 71 let","M",1,5,"Črnomelj"
,,,"02/01/2020","8. Več kot 71 let","M",1,6,"Domžale"
,,,"02/01/2020","8. Več kot 71 let","Ž",2,13,"Izola"
,,,"02/01/2020","6. Od 51-61 let","M",1,13,"Izola"
,,,"02/01/2020","8. Več kot 71 let","Ž",1,14,"Jesenice"
,,,"02/01/2020","8. Več kot 71 let","Ž",2,15,"Kamnik"
,,,"02/01/2020","8. Več kot 71 let","M",1,16,"Kočevje"
,,,"02/01/2020","8. Več kot 71 let","M",1,17,"Koper"
,,,"02/01/2020","7. Od 61-71 let","Ž",1,22,"Lendava"
,,,"02/01/2020","7. Od 61-71 let","M",3,24,"Ljubljana"
,,,"02/01/2020","8. Več kot 71 let","M",7,24,"Ljubljana"
,,,"02/01/2020","8. Več kot 71 let","Ž",12,24,"Ljubljana"
