"Presežna umrljivost, Slovenija, meseèno"

"MESEC","Presežna umrljivost (%)"
"2020M01 (zaèasni podatki)",-4.0
"2020M02 (zaèasni podatki)",1.3
"2020M03 (zaèasni podatki)",-2.2
"2020M04 (zaèasni podatki)",5.3
"2020M05 (zaèasni podatki)",0.9
"2020M06 (zaèasni podatki)",10.3
"2020M07 (zaèasni podatki)",1.0
"2020M08 (zaèasni podatki)",3.5
"2020M09 (zaèasni podatki)",11.0
"2020M10 (zaèasni podatki)",23.8
"2020M11 (zaèasni podatki)",89.2
"2020M12 (zaèasni podatki)",80.9
"2021M01 (zaèasni podatki)",27.5
