month,daily.deceased.2020,mean,min,max,daily.covid,excess,covid,surs.excess
1,66.29032258064517,69.29677419354839,-11.134903640256965,17.49371566893214,NA,-4.33851596685596,NA,-4
2,67.41379310344827,69.18251231527094,-8.288563484180134,7.634549862753248,0,-2.556598701941404,0,1.3
3,62.806451612903224,63.26451612903226,-5.1091168672241505,7.842137466857024,0.41935483870967744,-0.724046502141551,0.6628594737915562,-2.2
4,60.5,57.92,-4.753683241252304,7.447053406998161,2.6,4.45441988950277,4.488950276243094,5.3
5,53.29032258064516,53.25806451612903,-4.179285281647482,3.876438522107817,0.5483870967741935,0.06056935190792423,1.0296789824348878,0.9
6,55.63333333333333,51.266666666666666,-1.6905071521456483,1.2353706111833507,0.1,8.51755526657998,0.1950585175552666,10.3
7,52.38709677419355,53.0258064516129,-3.0904002920063123,6.399805329115482,0.25806451612903225,-1.2045260980654504,0.48667721133957903,1
8,54.25806451612903,52.89032258064516,-2.598194681629662,3.805806294218117,0.45161290322580644,2.5859965845328015,0.8538667967797022,3.5
9,57.9,52.46,-8.056932265853344,5.794891345787256,0.5666666666666667,10.36980556614564,1.080188079806837,11
10,69.58064516129032,56.174193548387095,-3.4684736418973183,1.9294820259561307,6.064516129032258,23.865855059147822,10.795911335706903,23.8
11,106.13333333333334,56.13333333333333,-2.315914489311155,2.7315914489311144,36.56666666666667,89.07363420427555,65.14251781472686,89.2
12,106.45161290322581,60,-5.967741935483872,5.053763440860215,40.935483870967744,77.41935483870968,68.2258064516129,80.9
