"Prebivalstvo po velikih in petletnih starostnih skupinah in spolu, upravne enote, Slovenija, polletno"

"SPOL","UPRAVNA ENOTA","2015H1 Starost - SKUPAJ","2015H2 Starost - SKUPAJ","2016H1 Starost - SKUPAJ","2016H2 Starost - SKUPAJ","2017H1 Starost - SKUPAJ","2017H2 Starost - SKUPAJ","2018H1 Starost - SKUPAJ","2018H2 Starost - SKUPAJ","2019H1 Starost - SKUPAJ","2019H2 Starost - SKUPAJ","2020H1 Starost - SKUPAJ","2020H2 Starost - SKUPAJ"
"Spol - SKUPAJ","SLOVENIJA",2062874,2063077,2064188,2064241,2065895,2066161,2066880,2070050,2080908,2089310,2095861,2100126
"Spol - SKUPAJ","Ajdovšèina",24567,24630,24652,24661,24708,24792,24710,24747,24849,24998,25121,25434
"Spol - SKUPAJ","Brežice",24184,24225,24254,24216,24204,24143,24086,24089,24084,24157,24051,24250
"Spol - SKUPAJ","Celje",63868,63983,64193,64421,64573,64600,64574,64888,65116,65264,65210,64801
"Spol - SKUPAJ","Cerknica",16798,16804,16797,16866,16851,16861,16754,16770,16853,16989,16901,17041
"Spol - SKUPAJ","Èrnomelj",18390,18312,18187,18197,18163,18096,18080,18059,18123,18145,18105,18203
"Spol - SKUPAJ","Domžale",57412,57648,57877,58091,58216,58537,58588,58937,59555,59819,60233,60365
"Spol - SKUPAJ","Dravograd",8879,8879,8885,8932,8856,8857,8799,8787,8783,8849,8884,8891
"Spol - SKUPAJ","Gornja Radgona",20181,20135,20049,20034,19978,19989,19930,19890,19822,19828,19844,19901
"Spol - SKUPAJ","Grosuplje",39825,39873,39910,40127,40285,40634,40865,41081,41429,41748,41961,42289
"Spol - SKUPAJ","Hrastnik",9440,9350,9316,9314,9269,9210,9188,9191,9154,9140,9113,9139
"Spol - SKUPAJ","Idrija",16613,16606,16571,16508,16402,16390,16345,16314,16328,16374,16358,16381
"Spol - SKUPAJ","Ilirska Bistrica",13719,13667,13594,13523,13482,13431,13329,13313,13340,13290,13297,13337
"Spol - SKUPAJ","Izola/Isola",15867,15881,15962,15920,16015,16009,16015,16099,16322,16367,16486,16589
"Spol - SKUPAJ","Jesenice",30717,30641,30533,30362,30432,30347,30382,30437,30590,30758,30959,31534
"Spol - SKUPAJ","Kamnik",35363,35349,35363,35440,35524,35568,35679,35751,35954,36192,36312,36355
"Spol - SKUPAJ","Koèevje",17095,17092,17018,16974,16898,16828,16778,16694,16694,16697,16662,16723
"Spol - SKUPAJ","Koper/Capodistria",54121,54290,54280,54367,54590,54846,55003,55044,55440,55755,55854,56026
"Spol - SKUPAJ","Kranj",81298,81559,81690,81718,81779,81799,81786,81640,82293,82917,83371,83564
"Spol - SKUPAJ","Krško",28290,28276,28303,28362,28278,28243,28270,28275,28446,28562,28656,28521
"Spol - SKUPAJ","Laško",17542,17564,17435,17440,17385,17332,17292,17230,17171,17192,17206,17227
"Spol - SKUPAJ","Lenart",19215,19192,19259,19284,19288,19285,19244,19338,19505,19570,19693,19868
"Spol - SKUPAJ","Lendava/Lendva",22838,22769,22740,22678,22613,22520,22448,22464,22437,22480,22389,22496
"Spol - SKUPAJ","Litija",20791,20821,20843,20981,20990,21111,21114,21149,21192,21293,21380,21511
"Spol - SKUPAJ","Ljubljana",357827,358301,359648,359949,361134,360870,362380,363167,366823,368713,370727,369460
"Spol - SKUPAJ","Ljutomer",17796,17761,17686,17663,17591,17554,17456,17473,17374,17369,17407,17415
"Spol - SKUPAJ","Logatec",13763,13762,13752,13815,13802,13919,13976,14048,14150,14232,14396,14514
"Spol - SKUPAJ","Metlika",8400,8395,8382,8354,8325,8355,8339,8345,8375,8397,8470,8458
"Spol - SKUPAJ","Mozirje",16157,16097,16126,16110,16058,16045,16020,16085,16071,16096,16098,16257
"Spol - SKUPAJ","Murska Sobota",55855,55769,55603,55443,55295,55241,54942,54822,54654,54719,54598,54585
"Spol - SKUPAJ","Nova Gorica",58354,58351,58315,58301,58239,58131,57905,58035,58239,58453,58434,58371
"Spol - SKUPAJ","Novo mesto",63863,63884,64148,64185,64296,64348,64444,64825,65238,65617,66163,66119
"Spol - SKUPAJ","Ormož",16499,16489,16409,16348,16238,16199,16100,16066,15914,15917,15796,15844
"Spol - SKUPAJ","Piran/Pirano",17857,17858,17829,17823,17782,17667,17643,17613,17671,17692,17676,18079
"Spol - SKUPAJ","Postojna",22021,22080,22132,22204,22249,22255,22251,22232,22351,22539,22643,22714
"Spol - SKUPAJ","Ptuj",68335,68295,68152,68294,68481,68478,68529,68609,68646,68938,69187,69454
"Spol - SKUPAJ","Radlje ob Dravi",15938,15934,15817,15803,15787,15812,15764,15766,15709,15707,15687,15729
"Spol - SKUPAJ","Radovljica",34980,34859,34812,34776,34768,34758,34662,34616,34727,34768,34823,35136
"Spol - SKUPAJ","Ravne na Koroškem",25108,25067,25041,24999,24936,24975,24905,24917,24956,24967,25027,25039
"Spol - SKUPAJ","Ribnica",13389,13387,13399,13434,13437,13408,13386,13441,13458,13514,13501,13648
"Spol - SKUPAJ","Sevnica",18084,18147,18118,18098,18086,18104,18060,18111,18158,18206,18258,18365
"Spol - SKUPAJ","Sežana",24928,24913,24999,25083,25130,25224,25300,25329,25583,25799,25897,26177
"Spol - SKUPAJ","Slovenj Gradec",21378,21338,21297,21276,21182,21173,21082,21133,21140,21160,21157,21176
"Spol - SKUPAJ","Slovenska Bistrica",35908,35925,35949,35997,36024,36013,36003,36077,36163,36304,36423,36547
"Spol - SKUPAJ","Slovenske Konjice",23231,23288,23287,23357,23406,23450,23501,23611,23622,23754,23864,24024
"Spol - SKUPAJ","Šentjur pri Celju",19998,20014,19971,19983,19978,20012,19936,19992,20050,20151,20174,20275
"Spol - SKUPAJ","Škofja Loka",41861,41938,41931,41959,41951,41997,42040,42091,42180,42390,42507,42605
"Spol - SKUPAJ","Šmarje pri Jelšah",32102,32133,32093,32183,32081,32120,32024,32194,32167,32321,32280,32438
"Spol - SKUPAJ","Tolmin",18654,18609,18526,18461,18398,18401,18300,18257,18200,18183,18128,18235
"Spol - SKUPAJ","Trbovlje",16490,16461,16339,16282,16221,16149,16052,16041,16018,16037,16105,16014
"Spol - SKUPAJ","Trebnje",20633,20683,20824,20913,20975,21087,21178,21409,21523,21698,21840,22072
"Spol - SKUPAJ","Tržiè",14994,14932,14872,14839,14870,14804,14766,14784,14880,14884,14961,15003
"Spol - SKUPAJ","Velenje",44689,44674,44692,44728,44562,44757,44693,44896,45255,45512,45705,45799
"Spol - SKUPAJ","Vrhnika",24601,24672,24729,24705,24936,25062,25021,25173,25424,25653,25764,25922
"Spol - SKUPAJ","Zagorje ob Savi",16717,16705,16650,16655,16575,16566,16504,16476,16434,16453,16439,16402
"Spol - SKUPAJ","Žalec",42052,42166,42165,42235,42311,42354,42277,42359,42399,42637,42785,43007
"Spol - SKUPAJ","Maribor",149341,148710,148954,147739,148318,147720,148368,148215,150262,150616,151398,151134
"Spol - SKUPAJ","Pesnica",19258,19162,19070,19151,19094,19123,19233,19103,19071,19039,19024,19100
"Spol - SKUPAJ","Ruše",14800,14772,14760,14680,14600,14602,14581,14552,14543,14491,14473,14563
