region.name,measure,cdr
Primorsko-notranjska,2020,8.6
Gorenjska,2020,10.6
Posavska,2020,11
Osrednjeslovenska,2020,10.7
Koroška,2020,12.3
Jugovzhodna Slovenija,2020,11.4
SLOVENIJA,2020,11.8
Savinjska,2020,12.1
Zasavska,2020,12.7
Obalno-kraška,2020,12.8
Goriška,2020,11.7
Podravska,2020,13.4
Pomurska,2020,15
Primorsko-notranjska,2015-19,7.8
Gorenjska,2015-19,8.9
Posavska,2015-19,9.1
Osrednjeslovenska,2015-19,9.6
Koroška,2015-19,9.9
Jugovzhodna Slovenija,2015-19,9.9
SLOVENIJA,2015-19,10.2
Savinjska,2015-19,10.3
Zasavska,2015-19,10.6
Obalno-kraška,2015-19,10.9
Goriška,2015-19,11
Podravska,2015-19,11.6
Pomurska,2015-19,12.4
