date,state.in_hospital.in,state.in_hospital.out,state.in_hospital,state.deceased.hospital,state.in_acute,state.deceased.hospital.acute,state.icu.in,state.icu.out,state.icu,state.deceased.hospital.icu,state.critical
2020-03-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03-10,0,8,18,0,17,0,1,0,1,0,1
2020-03-11,2,2,18,0,17,0,0,0,1,0,1
2020-03-12,4,5,17,0,15,0,1,0,2,0,1
2020-03-13,9,4,22,0,18,0,2,0,4,0,3
2020-03-14,8,0,29,1,25,1,0,0,4,0,3
2020-03-15,4,0,33,0,30,0,0,1,3,0,3
2020-03-16,1,2,32,0,27,0,2,0,5,0,3
2020-03-17,11,5,38,0,33,0,0,0,5,0,4
2020-03-18,9,6,43,0,38,0,0,0,5,0,4
2020-03-19,7,3,47,0,40,0,2,0,7,0,7
2020-03-20,3,4,46,0,38,0,1,0,8,0,8
2020-03-21,8,3,51,0,43,0,0,0,8,0,8
2020-03-22,2,1,52,0,41,0,3,0,11,0,11
2020-03-23,8,3,56,1,46,0,1,1,10,1,10
2020-03-24,14,0,69,1,58,1,1,0,11,0,11
2020-03-25,10,1,78,0,64,0,6,3,14,0,13
2020-03-26,7,4,81,0,65,0,2,0,16,0,15
2020-03-27,23,0,102,2,80,2,5,0,22,0,20
2020-03-28,7,6,102,1,79,0,1,0,23,1,20
2020-03-29,8,1,108,1,84,1,2,1,24,0,21
2020-03-30,11,1,117,1,88,0,5,0,29,1,24
2020-03-31,3,9,110,1,82,1,0,1,28,0,25
2020-04-01,7,7,109,1,78,1,3,0,31,0,27
2020-04-02,6,6,108,1,78,1,1,2,30,0,27
2020-04-03,10,2,114,2,84,1,3,3,30,1,26
2020-04-04,6,10,109,1,77,1,1,0,32,0,27
2020-04-05,9,5,110,3,79,3,0,1,31,0,26
2020-04-06,8,4,112,2,82,2,0,1,30,0,24
2020-04-07,13,13,109,2,77,2,2,0,32,0,26
2020-04-08,9,5,111,2,76,2,4,1,35,0,27
2020-04-09,6,8,108,1,74,0,2,2,34,1,28
2020-04-10,8,10,106,0,70,0,2,1,36,0,29
2020-04-11,6,15,94,3,59,1,2,1,35,2,27
2020-04-12,6,3,95,2,60,2,1,1,35,0,28
2020-04-13,3,2,95,1,62,0,0,1,33,1,26
2020-04-14,9,0,103,1,68,1,3,1,35,0,24
2020-04-15,7,13,96,1,62,1,2,3,34,0,24
2020-04-16,12,9,99,0,69,0,1,5,30,0,22
2020-04-17,6,8,95,2,67,0,0,0,28,2,22
2020-04-18,7,8,93,1,66,1,1,2,27,0,23
2020-04-19,1,2,89,2,63,1,1,1,26,1,21
2020-04-20,0,1,87,0,61,0,1,1,26,0,20
2020-04-21,3,4,86,0,61,0,0,1,25,0,21
2020-04-22,5,7,82,1,58,1,0,1,24,0,21
2020-04-23,4,6,80,0,57,0,1,1,23,0,21
2020-04-24,3,4,78,1,55,1,1,2,23,0,19
2020-04-25,4,4,77,1,54,1,1,1,23,0,19
2020-04-26,5,2,80,0,57,0,0,0,23,0,17
2020-04-27,1,0,80,1,58,0,0,0,22,1,17
2020-04-28,2,4,77,1,54,1,1,0,23,0,16
2020-04-29,7,13,70,1,48,0,1,1,22,1,15
2020-04-30,1,6,63,2,41,2,0,0,22,0,15
2020-05-01,1,5,58,1,37,0,2,2,21,1,13
2020-05-02,3,1,60,0,39,0,0,0,21,0,13
2020-05-03,3,2,58,1,38,0,0,0,20,1,11
2020-05-04,2,0,58,0,38,0,0,0,20,0,11
2020-05-05,2,3,55,1,39,1,0,4,16,0,10
2020-05-06,1,3,53,0,39,0,0,2,14,0,10
2020-05-07,0,1,52,0,39,0,0,1,13,0,9
2020-05-08,1,5,46,1,35,1,0,2,11,0,9
2020-05-09,1,3,43,1,33,0,0,0,10,1,8
2020-05-10,0,1,41,1,31,1,0,0,10,0,8
2020-05-11,1,0,42,0,32,0,0,0,10,0,8
2020-05-12,1,3,40,0,31,0,0,1,9,0,8
2020-05-13,0,1,38,1,29,1,0,0,9,0,8
2020-05-14,1,7,32,0,25,0,0,2,7,0,6
2020-05-15,0,3,29,0,22,0,0,0,7,0,6
2020-05-16,0,2,27,0,21,0,0,1,6,0,6
2020-05-17,1,1,26,1,21,0,0,0,5,1,4
2020-05-18,0,1,25,0,20,0,0,0,5,0,4
2020-05-19,0,1,24,0,19,0,0,0,5,0,3
2020-05-20,0,1,23,0,19,0,0,1,4,0,3
2020-05-21,0,2,21,0,18,0,0,1,3,0,2
2020-05-22,0,0,21,0,17,0,1,1,4,0,2
2020-05-23,0,2,18,1,15,0,0,0,3,1,2
2020-05-24,0,0,18,0,15,0,0,0,3,0,2
2020-05-25,0,2,16,0,13,0,0,0,3,0,2
2020-05-26,0,6,9,1,7,0,0,0,2,1,1
2020-05-27,1,2,8,0,6,0,0,0,2,0,1
2020-05-28,0,1,7,0,5,0,0,0,2,0,1
2020-05-29,0,0,7,0,5,0,0,0,2,0,1
2020-05-30,0,0,7,0,5,0,0,0,2,0,1
2020-05-31,0,1,6,0,4,0,0,0,2,0,1
2020-06-01,0,0,5,1,4,0,0,0,1,1,0
2020-06-02,0,0,5,0,4,0,0,0,1,0,0
2020-06-03,0,0,5,0,5,0,0,1,0,0,0
2020-06-04,0,0,5,0,5,0,0,0,0,0,0
2020-06-05,1,0,6,0,6,0,0,0,0,0,0
2020-06-06,0,0,6,0,6,0,0,0,0,0,0
2020-06-07,0,1,5,0,5,0,0,0,0,0,0
2020-06-08,0,0,5,0,5,0,0,0,0,0,0
2020-06-09,1,0,6,0,6,0,0,0,0,0,0
2020-06-10,0,0,6,0,6,0,0,0,0,0,0
2020-06-11,0,0,6,0,6,0,0,0,0,0,0
2020-06-12,0,0,6,0,6,0,0,0,0,0,0
2020-06-13,0,0,6,0,6,0,0,0,0,0,0
2020-06-14,0,0,6,0,6,0,0,0,0,0,0
2020-06-15,1,0,7,0,6,0,1,0,1,0,0
2020-06-16,0,0,7,0,6,0,0,0,1,0,0
2020-06-17,0,0,7,0,6,0,0,0,1,0,0
2020-06-18,0,1,6,0,5,0,0,0,1,0,0
2020-06-19,2,0,8,0,7,0,0,0,1,0,0
2020-06-20,0,2,6,0,5,0,0,0,1,0,0
2020-06-21,0,0,6,0,5,0,0,0,1,0,0
2020-06-22,0,0,6,0,5,0,0,0,1,0,0
2020-06-23,0,1,5,0,4,0,0,0,1,0,1
2020-06-24,2,0,7,0,5,0,1,0,2,0,1
2020-06-25,0,0,7,0,5,0,1,0,2,0,0
2020-06-26,1,0,8,0,7,0,1,1,1,0,0
2020-06-27,0,0,8,0,8,0,0,1,0,0,0
2020-06-28,0,1,7,0,7,0,0,0,0,0,0
2020-06-29,1,0,8,0,8,0,0,0,0,0,0
2020-06-30,0,0,8,0,8,0,0,0,0,0,0
2020-07-01,0,0,8,0,8,0,0,0,0,0,0
2020-07-02,1,0,9,0,9,0,0,0,0,0,0
2020-07-03,1,0,10,0,10,0,0,0,0,0,0
2020-07-04,0,4,6,0,6,0,0,0,0,0,0
2020-07-05,1,1,6,0,6,0,0,0,0,0,0
2020-07-06,5,0,11,0,11,0,0,0,0,0,0
2020-07-07,2,1,12,0,12,0,0,0,0,0,0
2020-07-08,5,3,14,0,14,0,0,0,0,0,0
2020-07-09,2,1,15,0,15,0,0,0,0,0,0
2020-07-10,1,0,16,0,16,0,0,0,0,0,0
2020-07-11,0,0,16,0,16,0,0,0,0,0,0
2020-07-12,0,0,16,0,15,0,1,0,1,0,0
2020-07-13,1,0,17,0,16,0,0,0,1,0,0
2020-07-14,3,3,17,0,16,0,0,0,1,0,0
2020-07-15,0,1,16,0,14,0,1,0,2,0,0
2020-07-16,2,0,18,0,17,0,0,1,1,0,0
2020-07-17,2,1,19,0,18,0,0,0,1,0,0
2020-07-18,2,2,19,0,17,0,1,0,2,0,1
2020-07-19,1,0,19,1,16,1,1,0,3,0,3
2020-07-20,1,0,19,1,16,1,0,0,3,0,3
2020-07-21,6,2,22,1,19,1,0,0,3,0,3
2020-07-22,2,1,22,1,20,0,0,0,2,1,2
2020-07-23,3,1,24,0,22,0,0,0,2,0,2
2020-07-24,2,3,23,0,21,0,0,0,2,0,2
2020-07-25,1,4,19,1,15,1,2,0,4,0,3
2020-07-26,4,2,21,0,17,0,0,0,4,0,3
2020-07-27,0,1,20,0,17,0,0,1,3,0,3
2020-07-28,0,3,17,0,14,0,0,0,3,0,3
2020-07-29,4,0,21,0,17,0,1,0,4,0,4
2020-07-30,1,0,22,0,17,0,1,0,5,0,4
2020-07-31,3,0,24,1,19,1,0,0,5,0,3
2020-08-01,0,2,22,0,17,0,0,0,5,0,3
2020-08-02,1,0,22,1,20,0,0,2,2,1,2
2020-08-03,0,0,20,2,19,1,0,0,1,1,1
2020-08-04,4,2,22,0,20,0,1,0,2,0,2
2020-08-05,2,2,22,0,19,0,1,0,3,0,2
2020-08-06,3,1,24,0,21,0,0,0,3,0,3
2020-08-07,1,1,24,0,20,0,1,0,4,0,4
2020-08-08,0,1,22,1,19,1,0,0,3,0,3
2020-08-09,3,0,24,1,21,0,0,0,3,1,2
2020-08-10,2,1,24,1,21,1,0,0,3,0,2
2020-08-11,1,1,23,1,21,1,0,1,2,0,2
2020-08-12,1,1,23,0,21,0,0,0,2,0,2
2020-08-13,1,5,19,0,16,0,1,0,3,0,2
2020-08-14,3,4,18,0,15,0,0,0,3,0,2
2020-08-15,2,4,16,0,13,0,0,0,3,0,2
2020-08-16,2,1,17,0,14,0,0,0,3,0,2
2020-08-17,2,0,19,0,16,0,0,0,3,0,2
2020-08-18,0,3,16,0,13,0,0,0,3,0,1
2020-08-19,1,0,17,0,14,0,0,0,3,0,1
2020-08-20,3,3,17,0,15,0,0,1,2,0,0
2020-08-21,2,1,18,0,18,0,0,2,0,0,0
2020-08-22,2,2,18,0,18,0,0,0,0,0,0
2020-08-23,1,2,17,0,17,0,0,0,0,0,0
2020-08-24,1,1,17,0,17,0,0,0,0,0,0
2020-08-25,1,1,17,0,17,0,0,0,0,0,0
2020-08-26,4,1,20,0,20,0,0,0,0,0,0
2020-08-27,3,0,23,0,22,0,1,0,1,0,1
2020-08-28,3,4,22,0,21,0,0,0,1,0,1
2020-08-29,2,1,23,0,21,0,1,0,2,0,2
2020-08-30,1,0,24,0,21,0,1,0,3,0,2
2020-08-31,1,0,25,0,22,0,0,0,3,0,2
2020-09-01,3,3,25,0,22,0,1,1,3,0,3
2020-09-02,3,2,26,0,22,0,1,0,4,0,3
2020-09-03,3,3,26,0,22,0,0,0,4,0,3
2020-09-04,2,4,24,0,21,0,0,1,3,0,3
2020-09-05,3,5,22,0,19,0,0,0,3,0,3
2020-09-06,2,1,23,0,20,0,0,0,3,0,3
2020-09-07,5,2,26,0,22,0,1,0,4,0,4
2020-09-08,5,3,28,0,24,0,0,0,4,0,4
2020-09-09,2,3,27,0,23,0,0,0,4,0,3
2020-09-10,1,2,26,0,21,0,1,0,5,0,5
2020-09-11,1,0,27,0,21,0,1,0,6,0,6
2020-09-12,9,5,31,0,25,0,0,0,6,0,6
2020-09-13,7,0,38,0,31,0,1,0,7,0,7
2020-09-14,8,4,42,0,33,0,4,2,9,0,8
2020-09-15,9,1,50,0,40,0,1,0,10,0,9
2020-09-16,12,1,61,0,50,0,1,0,11,0,9
2020-09-17,3,1,62,1,51,1,1,1,11,0,8
2020-09-18,10,3,67,2,56,2,0,0,11,0,9
2020-09-19,7,6,67,1,57,0,1,1,10,1,8
2020-09-20,5,5,66,1,53,1,3,0,13,0,12
2020-09-21,5,1,70,0,55,0,2,0,15,0,11
2020-09-22,9,8,71,0,58,0,0,2,13,0,11
2020-09-23,8,13,65,1,55,0,0,2,10,1,10
2020-09-24,9,9,63,2,50,2,3,0,13,0,10
2020-09-25,7,10,60,0,45,0,3,1,15,0,13
2020-09-26,15,2,72,1,55,1,4,2,17,0,13
2020-09-27,19,10,80,1,63,1,2,2,17,0,12
2020-09-28,10,9,79,2,63,1,0,0,16,1,11
2020-09-29,10,5,84,0,68,0,2,2,16,0,9
2020-09-30,12,9,86,1,70,1,1,1,16,0,10
2020-10-01,18,16,86,2,71,1,2,2,15,1,9
2020-10-02,10,8,86,2,71,2,0,0,15,0,9
2020-10-03,17,7,94,2,79,2,0,0,15,0,9
2020-10-04,8,1,101,0,85,0,1,0,16,0,10
2020-10-05,14,8,107,0,86,0,5,0,21,0,10
2020-10-06,17,10,111,3,91,3,2,3,20,0,8
2020-10-07,22,11,122,0,100,0,5,3,22,0,10
2020-10-08,25,15,131,1,110,1,4,3,21,0,12
2020-10-09,20,9,138,4,115,4,4,2,23,0,14
2020-10-10,19,6,149,2,128,1,1,2,21,1,12
2020-10-11,15,6,158,0,131,0,6,0,27,0,14
2020-10-12,19,3,172,2,146,2,7,8,26,0,17
2020-10-13,30,18,180,4,149,4,5,0,31,0,20
2020-10-14,49,17,210,2,175,2,8,4,35,0,22
2020-10-15,33,20,222,1,182,1,6,1,40,0,24
2020-10-16,31,9,240,4,197,3,5,0,43,1,27
2020-10-17,44,32,250,2,206,1,5,3,44,1,31
2020-10-18,29,11,265,3,215,2,7,0,50,1,32
2020-10-19,36,9,291,1,235,1,8,3,56,0,38
2020-10-20,51,27,313,2,258,2,5,6,55,0,41
2020-10-21,60,32,333,8,278,5,9,6,55,3,41
2020-10-22,60,32,356,5,294,5,12,5,62,0,46
2020-10-23,69,28,394,3,329,2,7,3,65,1,47
2020-10-24,103,31,449,17,383,16,9,7,66,1,50
2020-10-25,89,25,508,5,435,3,9,0,73,2,55
2020-10-26,51,29,523,7,441,6,17,7,82,1,57
2020-10-27,85,43,560,5,472,4,11,4,88,1,57
2020-10-28,110,51,612,7,510,6,26,12,102,1,66
2020-10-29,103,48,660,7,541,6,18,3,119,1,72
2020-10-30,101,40,703,18,575,16,19,8,128,2,70
2020-10-31,158,67,779,15,654,9,14,11,125,6,75
2020-11-01,94,33,821,19,688,18,15,6,133,1,82
2020-11-02,115,49,868,19,726,17,18,7,142,2,91
2020-11-03,131,54,925,20,777,17,20,12,148,3,96
2020-11-04,140,63,979,23,822,21,18,7,157,2,103
2020-11-05,124,58,1023,22,855,20,22,9,168,2,110
2020-11-06,160,92,1069,22,901,16,16,10,168,6,115
2020-11-07,135,93,1084,27,906,22,24,9,178,5,117
2020-11-08,102,42,1125,19,946,16,11,8,179,3,124
2020-11-09,89,53,1143,18,950,17,21,6,193,1,133
2020-11-10,148,101,1171,19,975,15,20,13,196,4,134
2020-11-11,151,96,1192,34,988,28,21,7,204,6,134
2020-11-12,142,93,1210,31,1014,29,17,24,196,2,136
2020-11-13,98,79,1199,30,995,25,23,10,204,5,145
2020-11-14,155,95,1224,35,1019,29,20,13,205,6,154
2020-11-15,105,44,1261,24,1060,19,10,9,201,5,150
2020-11-16,65,38,1264,24,1055,22,24,14,209,2,160
2020-11-17,127,92,1275,24,1065,19,18,12,210,5,154
2020-11-18,156,116,1280,35,1068,30,20,13,212,5,158
2020-11-19,82,88,1238,36,1036,30,12,16,202,6,153
2020-11-20,110,68,1254,26,1055,23,17,17,199,3,148
2020-11-21,115,129,1219,21,1024,16,19,18,195,5,147
2020-11-22,82,39,1244,18,1047,11,16,8,197,7,152
2020-11-23,104,31,1292,25,1090,19,16,5,202,6,152
2020-11-24,126,79,1299,40,1095,33,19,10,204,7,147
2020-11-25,143,113,1297,32,1094,29,16,13,203,3,150
2020-11-26,127,91,1302,31,1090,24,25,9,212,7,152
2020-11-27,160,101,1324,37,1126,27,15,19,198,10,150
2020-11-28,88,121,1257,34,1066,24,16,13,191,10,143
2020-11-29,112,59,1278,32,1083,27,21,12,195,5,146
2020-11-30,92,36,1298,36,1096,31,19,7,202,5,141
2020-12-01,126,81,1299,44,1091,39,18,7,208,5,148
2020-12-02,120,94,1285,40,1088,35,14,20,197,5,144
2020-12-03,107,74,1289,29,1094,23,13,9,195,6,138
2020-12-04,123,86,1284,42,1085,40,21,15,199,2,138
2020-12-05,142,122,1272,32,1077,24,22,19,195,8,136
2020-12-06,112,51,1302,31,1102,28,20,12,200,3,138
2020-12-07,82,45,1301,38,1107,35,14,17,194,3,138
2020-12-08,136,86,1304,47,1114,37,20,14,190,10,125
2020-12-09,106,104,1282,24,1085,22,21,12,197,2,136
2020-12-10,110,97,1258,37,1070,32,19,23,188,5,134
2020-12-11,157,113,1268,34,1072,29,26,13,196,5,135
2020-12-12,157,121,1276,28,1084,24,23,23,192,4,136
2020-12-13,106,52,1315,15,1115,13,17,7,200,2,145
2020-12-14,80,48,1320,27,1113,26,16,8,207,1,152
2020-12-15,115,127,1284,24,1080,19,17,15,204,5,149
2020-12-16,117,128,1251,22,1041,20,19,11,210,2,149
2020-12-17,123,116,1229,29,1022,23,21,18,207,6,149
2020-12-18,105,97,1212,25,1006,24,17,17,206,1,151
2020-12-19,104,93,1199,24,996,20,13,12,203,4,144
2020-12-20,84,41,1214,28,1012,23,13,9,202,5,145
2020-12-21,98,22,1271,19,1064,14,20,10,207,5,153
2020-12-22,134,119,1261,25,1052,20,22,15,209,5,156
2020-12-23,111,123,1226,23,1018,20,17,15,208,3,153
2020-12-24,99,120,1189,16,978,13,17,11,211,3,160
2020-12-25,91,117,1142,21,941,13,7,10,201,8,152
2020-12-26,80,39,1165,18,958,14,15,5,207,4,162
2020-12-27,76,38,1179,24,973,18,16,11,206,6,163
2020-12-28,99,37,1221,20,1016,14,13,8,205,6,165
2020-12-29,135,157,1170,29,966,21,17,10,204,8,158
2020-12-30,123,98,1172,23,963,17,24,13,209,6,155
2020-12-31,124,97,1174,25,979,17,16,22,195,8,145
2021-01-01,91,129,1110,26,923,19,14,15,187,7,145
2021-01-02,62,34,1111,27,925,22,12,8,186,5,140
2021-01-03,114,29,1173,23,983,14,17,4,190,9,143
2021-01-04,103,38,1209,29,1015,26,14,7,194,3,145
2021-01-05,112,108,1193,20,1005,16,8,10,188,4,141
2021-01-06,114,106,1177,24,987,16,21,12,190,8,146
2021-01-07,95,84,1169,19,980,16,17,15,189,3,143
2021-01-08,105,93,1160,21,969,17,21,15,191,4,139
2021-01-09,108,106,1143,19,951,15,14,9,192,4,138
2021-01-10,107,38,1192,20,990,17,19,6,202,3,145
2021-01-11,74,43,1205,18,1007,13,10,9,198,5,148
2021-01-12,131,110,1202,24,1010,16,16,14,192,8,151
2021-01-13,144,90,1244,12,1038,11,25,10,206,1,139
2021-01-14,121,80,1266,19,1066,18,10,15,200,1,136
2021-01-15,108,84,1266,24,1070,18,16,14,196,6,139
2021-01-16,103,128,1224,17,1031,14,17,17,193,3,134
2021-01-17,67,39,1220,32,1029,25,13,8,191,7,133
2021-01-18,70,31,1237,22,1054,12,8,6,183,10,130
2021-01-19,112,126,1200,23,1013,19,17,9,187,4,133
2021-01-20,128,125,1178,25,999,18,19,20,179,7,132
