"Leto","Št. meseca","Mesec","Dan","št. na Dan"
"2020","01","Januar","01/01/2020",69
,,,"02/01/2020",76
,,,"03/01/2020",67
,,,"04/01/2020",56
,,,"05/01/2020",64
,,,"06/01/2020",82
,,,"07/01/2020",57
,,,"08/01/2020",72
,,,"09/01/2020",60
,,,"10/01/2020",66
,,,"11/01/2020",55
,,,"12/01/2020",59
,,,"13/01/2020",55
,,,"14/01/2020",66
,,,"15/01/2020",50
,,,"16/01/2020",81
,,,"17/01/2020",77
,,,"18/01/2020",51
,,,"19/01/2020",62
,,,"20/01/2020",68
,,,"21/01/2020",61
,,,"22/01/2020",72
,,,"23/01/2020",74
,,,"24/01/2020",75
,,,"25/01/2020",65
,,,"26/01/2020",61
,,,"27/01/2020",68
,,,"28/01/2020",73
,,,"29/01/2020",73
,,,"30/01/2020",76
,,,"31/01/2020",63
,"02","Februar","01/02/2020",60
,,,"02/02/2020",77
,,,"03/02/2020",72
,,,"04/02/2020",63
,,,"05/02/2020",64
,,,"06/02/2020",78
,,,"07/02/2020",58
,,,"08/02/2020",72
,,,"09/02/2020",59
,,,"10/02/2020",74
,,,"11/02/2020",89
,,,"12/02/2020",75
,,,"13/02/2020",62
,,,"14/02/2020",65
,,,"15/02/2020",76
,,,"16/02/2020",71
,,,"17/02/2020",79
,,,"18/02/2020",71
,,,"19/02/2020",67
,,,"20/02/2020",55
,,,"21/02/2020",61
,,,"22/02/2020",66
,,,"23/02/2020",56
,,,"24/02/2020",61
,,,"25/02/2020",73
,,,"26/02/2020",71
,,,"27/02/2020",56
,,,"28/02/2020",65
,,,"29/02/2020",57
,"03","Marec","01/03/2020",61
,,,"02/03/2020",73
,,,"03/03/2020",54
,,,"04/03/2020",60
,,,"05/03/2020",67
,,,"06/03/2020",53
,,,"07/03/2020",60
,,,"08/03/2020",68
,,,"09/03/2020",54
,,,"10/03/2020",58
,,,"11/03/2020",66
,,,"12/03/2020",70
,,,"13/03/2020",75
,,,"14/03/2020",68
,,,"15/03/2020",68
,,,"16/03/2020",51
,,,"17/03/2020",75
,,,"18/03/2020",68
,,,"19/03/2020",64
,,,"20/03/2020",75
,,,"21/03/2020",63
,,,"22/03/2020",67
,,,"23/03/2020",36
,,,"24/03/2020",67
,,,"25/03/2020",58
,,,"26/03/2020",57
,,,"27/03/2020",71
,,,"28/03/2020",74
,,,"29/03/2020",52
,,,"30/03/2020",60
,,,"31/03/2020",52
,"04","April","01/04/2020",56
,,,"02/04/2020",64
,,,"03/04/2020",53
,,,"04/04/2020",53
,,,"05/04/2020",56
,,,"06/04/2020",68
,,,"07/04/2020",50
,,,"08/04/2020",56
,,,"09/04/2020",68
,,,"10/04/2020",77
,,,"11/04/2020",68
,,,"12/04/2020",52
,,,"13/04/2020",67
,,,"14/04/2020",65
,,,"15/04/2020",58
,,,"16/04/2020",64
,,,"17/04/2020",58
,,,"18/04/2020",72
,,,"19/04/2020",67
,,,"20/04/2020",75
,,,"21/04/2020",63
,,,"22/04/2020",53
,,,"23/04/2020",51
,,,"24/04/2020",54
,,,"25/04/2020",54
,,,"26/04/2020",54
,,,"27/04/2020",59
,,,"28/04/2020",70
,,,"29/04/2020",53
,,,"30/04/2020",56
,"05","Maj","01/05/2020",44
,,,"02/05/2020",49
,,,"03/05/2020",43
,,,"04/05/2020",53
,,,"05/05/2020",53
,,,"06/05/2020",51
,,,"07/05/2020",49
,,,"08/05/2020",69
,,,"09/05/2020",60
,,,"10/05/2020",53
,,,"11/05/2020",61
,,,"12/05/2020",64
,,,"13/05/2020",50
,,,"14/05/2020",55
,,,"15/05/2020",40
,,,"16/05/2020",52
,,,"17/05/2020",51
,,,"18/05/2020",57
,,,"19/05/2020",56
,,,"20/05/2020",52
,,,"21/05/2020",70
,,,"22/05/2020",52
,,,"23/05/2020",54
,,,"24/05/2020",74
,,,"25/05/2020",56
,,,"26/05/2020",44
,,,"27/05/2020",42
,,,"28/05/2020",43
,,,"29/05/2020",54
,,,"30/05/2020",51
,,,"31/05/2020",45
,"06","Junij","01/06/2020",51
,,,"02/06/2020",49
,,,"03/06/2020",57
,,,"04/06/2020",54
,,,"05/06/2020",54
,,,"06/06/2020",50
,,,"07/06/2020",45
,,,"08/06/2020",64
,,,"09/06/2020",62
,,,"10/06/2020",55
,,,"11/06/2020",42
,,,"12/06/2020",53
,,,"13/06/2020",46
,,,"14/06/2020",64
,,,"15/06/2020",52
,,,"16/06/2020",51
,,,"17/06/2020",58
,,,"18/06/2020",53
,,,"19/06/2020",54
,,,"20/06/2020",49
,,,"21/06/2020",68
,,,"22/06/2020",52
,,,"23/06/2020",86
,,,"24/06/2020",60
,,,"25/06/2020",58
,,,"26/06/2020",59
,,,"27/06/2020",45
,,,"28/06/2020",60
,,,"29/06/2020",65
,,,"30/06/2020",51
,"07","Julij","01/07/2020",44
,,,"02/07/2020",62
,,,"03/07/2020",59
,,,"04/07/2020",45
,,,"05/07/2020",50
,,,"06/07/2020",54
,,,"07/07/2020",42
,,,"08/07/2020",45
,,,"09/07/2020",44
,,,"10/07/2020",53
,,,"11/07/2020",56
,,,"12/07/2020",41
,,,"13/07/2020",53
,,,"14/07/2020",53
,,,"15/07/2020",49
,,,"16/07/2020",56
,,,"17/07/2020",48
,,,"18/07/2020",43
,,,"19/07/2020",56
,,,"20/07/2020",57
,,,"21/07/2020",64
,,,"22/07/2020",53
,,,"23/07/2020",59
,,,"24/07/2020",50
,,,"25/07/2020",49
,,,"26/07/2020",49
,,,"27/07/2020",61
,,,"28/07/2020",70
,,,"29/07/2020",53
,,,"30/07/2020",43
,,,"31/07/2020",63
,"08","Avgust","01/08/2020",65
,,,"02/08/2020",52
,,,"03/08/2020",64
,,,"04/08/2020",43
,,,"05/08/2020",54
,,,"06/08/2020",41
,,,"07/08/2020",65
,,,"08/08/2020",54
,,,"09/08/2020",63
,,,"10/08/2020",48
,,,"11/08/2020",63
,,,"12/08/2020",63
,,,"13/08/2020",60
,,,"14/08/2020",53
,,,"15/08/2020",65
,,,"16/08/2020",51
,,,"17/08/2020",50
,,,"18/08/2020",55
,,,"19/08/2020",45
,,,"20/08/2020",54
,,,"21/08/2020",54
,,,"22/08/2020",53
,,,"23/08/2020",53
,,,"24/08/2020",39
,,,"25/08/2020",45
,,,"26/08/2020",67
,,,"27/08/2020",58
,,,"28/08/2020",45
,,,"29/08/2020",49
,,,"30/08/2020",49
,,,"31/08/2020",58
,"09","September","01/09/2020",52
,,,"02/09/2020",43
,,,"03/09/2020",56
,,,"04/09/2020",50
,,,"05/09/2020",70
,,,"06/09/2020",65
,,,"07/09/2020",61
,,,"08/09/2020",52
,,,"09/09/2020",46
,,,"10/09/2020",46
,,,"11/09/2020",56
,,,"12/09/2020",75
,,,"13/09/2020",63
,,,"14/09/2020",66
,,,"15/09/2020",62
,,,"16/09/2020",62
,,,"17/09/2020",61
,,,"18/09/2020",64
,,,"19/09/2020",61
,,,"20/09/2020",54
,,,"21/09/2020",49
,,,"22/09/2020",54
,,,"23/09/2020",64
,,,"24/09/2020",48
,,,"25/09/2020",59
,,,"26/09/2020",61
,,,"27/09/2020",35
,,,"28/09/2020",68
,,,"29/09/2020",61
,,,"30/09/2020",69
,"10","Oktober","01/10/2020",64
,,,"02/10/2020",51
,,,"03/10/2020",50
,,,"04/10/2020",63
,,,"05/10/2020",69
,,,"06/10/2020",57
,,,"07/10/2020",55
,,,"08/10/2020",61
,,,"09/10/2020",72
,,,"10/10/2020",47
,,,"11/10/2020",63
,,,"12/10/2020",67
,,,"13/10/2020",52
,,,"14/10/2020",74
,,,"15/10/2020",66
,,,"16/10/2020",70
,,,"17/10/2020",66
,,,"18/10/2020",60
,,,"19/10/2020",77
,,,"20/10/2020",73
,,,"21/10/2020",61
,,,"22/10/2020",71
,,,"23/10/2020",93
,,,"24/10/2020",71
,,,"25/10/2020",85
,,,"26/10/2020",72
,,,"27/10/2020",73
,,,"28/10/2020",87
,,,"29/10/2020",87
,,,"30/10/2020",97
,,,"31/10/2020",97
,"11","November","01/11/2020",97
,,,"02/11/2020",105
,,,"03/11/2020",90
,,,"04/11/2020",87
,,,"05/11/2020",78
,,,"06/11/2020",102
,,,"07/11/2020",85
,,,"08/11/2020",95
,,,"09/11/2020",95
,,,"10/11/2020",111
,,,"11/11/2020",102
,,,"12/11/2020",119
,,,"13/11/2020",112
,,,"14/11/2020",98
,,,"15/11/2020",113
,,,"16/11/2020",104
,,,"17/11/2020",115
,,,"18/11/2020",92
,,,"19/11/2020",110
,,,"20/11/2020",107
,,,"21/11/2020",97
,,,"22/11/2020",116
,,,"23/11/2020",125
,,,"24/11/2020",113
,,,"25/11/2020",108
,,,"26/11/2020",125
,,,"27/11/2020",97
,,,"28/11/2020",109
,,,"29/11/2020",113
,,,"30/11/2020",119
,"12","December","01/12/2020",118
,,,"02/12/2020",96
,,,"03/12/2020",127
,,,"04/12/2020",101
,,,"05/12/2020",101
,,,"06/12/2020",121
,,,"07/12/2020",108
,,,"08/12/2020",86
,,,"09/12/2020",100
,,,"10/12/2020",97
,,,"11/12/2020",94
,,,"12/12/2020",78
,,,"13/12/2020",83
,,,"14/12/2020",77
,,,"15/12/2020",75
