year,month,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Hrastnik,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Maribor,Metlika,Mozirje,Murska Sobota,Nova Gorica,Novo mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur pri Celju,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec,days
2010,1,13,37,97,11,12,14,5,11,11,5,7,8,60,54,10,11,14,59,4,11,15,13,6,328,13,4,176,6,12,86,54,68,9,6,8,15,68,6,20,4,12,8,5,10,32,13,34,11,6,19,8,21,11,7,52,11,11,18,31
2010,2,7,43,95,10,10,8,7,11,14,2,9,16,60,47,15,12,26,63,8,8,13,11,13,304,8,13,179,9,7,89,62,80,7,8,14,8,62,3,19,10,10,5,10,14,15,12,33,12,14,15,17,20,5,12,55,14,3,11,28
2010,3,12,33,101,14,3,19,4,12,10,7,13,6,47,44,15,9,23,58,10,12,11,15,7,338,10,8,187,5,11,71,78,67,10,6,8,11,65,3,41,6,11,7,16,10,34,20,40,11,2,17,12,37,5,6,46,7,9,7,31
2010,4,8,33,92,10,4,26,5,16,15,4,9,9,49,38,12,13,16,67,11,14,7,15,7,341,10,7,204,8,14,93,57,83,11,10,8,13,45,3,45,8,9,5,7,11,16,18,33,10,9,11,8,23,3,2,44,14,12,16,30
2010,5,10,42,96,5,8,17,3,7,13,10,8,14,24,41,14,8,16,49,10,15,12,9,15,338,10,9,176,6,14,71,57,69,9,7,3,10,72,7,56,4,10,6,5,6,22,27,44,13,11,14,10,28,7,6,52,7,9,12,31
2010,6,19,28,89,12,15,13,5,11,11,4,12,8,38,44,12,14,15,81,5,13,8,18,8,332,16,3,193,10,13,70,62,58,6,9,1,14,59,9,25,8,5,4,7,7,16,22,24,14,7,17,9,10,6,3,53,10,9,18,30
2010,7,12,29,104,9,5,31,3,16,14,6,13,6,58,52,9,13,10,51,12,8,11,17,6,363,10,5,171,13,16,67,51,66,12,8,11,11,62,6,23,10,10,7,3,11,25,10,30,10,5,21,10,18,9,8,50,9,5,10,31
2010,8,16,37,88,11,11,16,6,6,13,3,9,5,43,35,13,14,10,61,14,11,9,16,4,319,14,2,149,6,11,73,53,58,4,7,9,10,60,4,27,6,15,2,8,14,20,11,30,14,11,9,15,22,5,4,41,7,5,10,31
2010,9,8,44,97,9,2,19,5,7,15,1,12,16,49,52,12,7,14,72,13,13,11,10,4,331,12,11,167,9,12,102,49,62,7,7,3,15,47,9,24,10,4,5,10,10,19,17,43,12,8,14,12,22,7,8,46,8,9,17,30
2010,10,12,30,102,9,10,26,6,10,16,3,10,11,62,37,16,6,17,52,7,9,13,18,5,348,9,2,171,9,8,76,66,72,8,2,16,14,62,3,8,9,4,7,9,13,20,11,47,19,6,19,19,30,7,6,66,12,7,13,31
2010,11,17,41,87,8,8,14,5,11,15,3,9,7,50,44,14,8,24,57,11,10,14,16,3,300,11,12,167,4,13,75,65,70,10,10,9,7,71,7,21,6,9,5,8,16,15,24,35,15,8,14,12,20,7,4,33,6,11,13,30
2010,12,13,37,103,8,9,24,7,16,12,3,11,8,57,59,9,9,16,60,9,12,11,22,9,341,5,14,192,5,15,92,82,70,2,13,5,11,71,11,18,11,4,6,4,11,25,12,38,16,8,24,16,28,12,6,52,8,10,17,31
2011,1,19,51,106,8,11,25,7,7,22,5,14,11,54,39,11,8,25,62,13,11,9,14,9,360,9,10,189,6,11,97,80,85,9,10,19,14,81,14,26,16,6,9,13,19,18,23,50,20,9,17,13,35,7,11,50,12,10,26,31
2011,2,12,28,81,9,5,17,5,16,12,6,10,10,40,43,16,10,12,72,6,9,8,8,10,343,10,6,197,1,7,98,76,69,8,8,13,6,67,8,13,13,8,2,8,10,15,17,48,21,6,16,14,18,6,9,45,10,9,20,28
2011,3,15,45,101,7,8,18,1,21,19,3,16,6,55,50,12,10,24,52,12,6,7,15,14,342,11,6,200,3,8,104,84,88,5,12,5,7,55,9,15,10,10,4,15,12,20,11,46,14,7,26,15,22,9,7,44,10,16,14,31
2011,4,6,40,90,12,7,12,3,13,12,6,7,18,51,42,16,9,22,51,13,7,11,19,9,317,5,8,174,7,17,79,62,77,5,6,3,11,72,9,14,10,13,8,9,10,17,17,43,10,12,15,8,21,8,5,37,7,5,22,30
2011,5,11,28,73,7,9,16,6,8,23,2,6,10,51,34,8,5,9,63,9,14,10,13,7,338,11,7,169,3,18,86,68,79,6,7,5,12,66,2,17,11,1,4,5,6,12,14,27,17,5,13,13,26,6,6,41,6,10,31,31
2011,6,9,33,71,13,11,17,5,13,18,2,7,13,42,35,9,10,15,51,9,14,7,15,9,297,9,14,188,6,17,85,46,45,9,9,6,8,52,4,16,12,18,5,8,11,18,14,29,12,6,11,6,24,9,4,33,9,17,12,30
2011,7,6,29,88,9,7,23,6,10,19,3,8,7,46,35,9,8,11,62,8,8,8,18,12,348,8,3,169,3,10,83,48,80,10,6,1,6,54,4,20,8,5,4,5,12,19,10,34,7,7,12,23,25,6,4,43,7,12,16,31
2011,8,12,39,97,15,9,23,8,9,11,2,11,12,60,40,9,6,20,62,9,6,13,13,3,341,16,7,142,1,12,79,65,59,7,8,7,16,83,7,26,9,10,4,3,9,16,15,33,14,10,13,16,24,12,5,47,7,8,17,31
2011,9,9,33,94,5,7,22,0,9,11,10,7,7,50,46,9,8,13,52,11,7,12,16,8,341,5,12,148,5,7,80,54,69,9,5,6,13,60,7,16,7,11,1,16,7,9,7,35,20,7,17,14,16,5,5,49,8,7,9,30
2011,10,7,30,110,8,5,20,6,18,13,4,4,5,45,37,13,9,25,66,9,12,14,12,10,325,7,3,220,5,13,92,60,72,13,9,4,8,58,9,21,11,10,5,6,10,12,18,37,16,9,13,12,29,6,4,34,15,6,11,31
2011,11,5,25,81,7,8,9,4,11,16,9,12,12,57,37,10,10,21,50,11,7,9,13,11,316,7,9,167,4,9,88,69,55,9,9,14,7,79,9,15,15,17,5,6,16,12,16,47,27,12,14,20,22,7,3,39,10,4,22,30
2011,12,13,40,77,8,12,24,2,10,16,5,7,7,51,42,14,13,20,58,12,13,9,15,8,396,2,11,218,10,10,106,62,69,12,10,3,12,63,6,16,10,9,7,6,11,25,22,42,12,12,14,12,28,11,7,57,11,4,15,31
2012,1,4,45,105,12,6,22,3,8,12,3,9,8,63,44,18,9,10,76,12,10,11,14,9,374,15,2,184,5,15,91,87,77,10,10,6,8,75,4,22,8,12,3,10,17,24,13,36,14,14,18,13,30,15,6,60,13,8,12,31
2012,2,15,39,109,5,9,23,6,17,27,8,9,7,68,44,14,5,27,63,20,13,8,15,11,380,7,6,208,6,11,95,87,88,7,7,3,11,73,7,27,8,9,2,9,20,20,15,53,18,15,20,15,23,7,4,53,7,7,11,29
2012,3,16,47,104,8,11,38,7,7,15,3,16,19,61,48,17,11,19,84,13,15,13,15,16,415,12,7,224,5,8,155,84,90,11,6,14,11,70,11,27,13,7,5,6,18,29,17,52,15,11,25,12,35,11,3,52,14,6,27,31
2012,4,13,34,106,8,10,18,3,14,15,4,12,12,44,36,17,12,15,64,18,17,12,12,6,377,13,9,157,1,19,84,73,61,10,2,13,5,59,9,14,13,7,4,8,16,16,15,30,10,8,15,14,16,5,3,48,5,10,18,30
2012,5,6,43,89,5,6,16,3,11,15,3,13,13,52,45,11,7,14,64,12,7,3,10,7,315,6,4,179,3,7,74,62,78,6,10,11,10,74,6,19,6,7,4,9,16,16,17,36,14,15,15,12,20,7,9,42,8,4,17,31
2012,6,7,27,79,7,5,16,7,16,13,2,10,15,47,29,11,8,11,58,12,9,8,14,8,338,3,6,175,7,8,62,55,74,7,6,3,15,54,5,22,7,6,6,7,11,10,11,39,11,11,17,12,22,15,3,46,6,9,13,30
2012,7,9,29,92,13,4,14,3,12,14,2,8,7,53,43,13,8,16,54,11,16,12,8,7,333,12,5,182,4,9,76,78,68,7,3,9,11,53,3,23,7,12,3,8,12,17,10,36,11,11,17,13,26,5,11,48,10,5,21,31
2012,8,3,22,81,8,7,19,3,11,17,5,12,15,40,38,9,13,13,44,7,13,9,20,4,381,7,9,158,7,13,70,78,64,7,7,13,14,60,5,19,8,10,3,9,7,18,10,34,12,9,12,16,23,12,1,48,6,4,14,31
2012,9,11,31,79,10,4,23,6,10,25,5,3,5,46,37,11,6,14,53,9,16,12,10,5,298,4,10,162,7,8,74,69,67,7,7,7,10,58,5,15,4,9,4,9,10,23,10,33,10,6,15,14,21,9,2,37,10,8,13,30
2012,10,10,28,80,10,9,29,2,8,14,3,13,10,40,34,14,13,15,51,11,9,12,10,10,384,9,7,192,4,6,87,71,70,5,8,4,14,59,6,24,13,8,3,8,11,21,10,48,17,9,15,15,32,7,3,42,5,13,24,31
2012,11,14,35,103,7,6,23,6,6,17,3,13,10,46,34,10,5,14,51,7,23,8,15,7,357,13,10,165,5,4,67,67,72,6,4,10,7,69,3,27,12,10,7,13,11,16,18,36,13,12,15,12,23,10,8,36,18,11,22,30
2012,12,14,36,91,15,5,21,6,7,12,6,9,4,47,52,17,5,17,68,8,11,14,20,14,347,8,8,213,6,12,89,72,65,5,14,7,21,62,3,18,12,19,4,12,13,23,22,30,13,13,15,14,24,7,11,46,9,11,14,31
2013,1,6,42,115,9,14,16,4,7,16,4,6,10,72,64,9,9,23,84,11,12,17,15,10,372,12,6,234,5,10,103,109,79,12,10,2,13,75,9,22,11,18,3,4,12,22,18,42,9,9,27,17,26,3,5,51,15,5,13,31
2013,2,21,27,95,14,10,20,8,18,21,2,10,8,52,51,19,6,18,65,8,13,13,12,14,360,11,7,196,6,10,102,83,75,12,7,10,7,69,9,24,5,9,0,14,11,25,24,47,20,9,18,11,33,5,9,45,12,12,15,28
2013,3,10,39,93,11,8,25,5,13,14,6,19,15,58,53,10,10,28,64,11,15,6,13,5,411,7,8,207,6,15,85,86,82,11,11,10,12,72,5,20,14,19,3,10,13,22,22,51,11,10,25,12,30,7,5,54,7,12,20,31
2013,4,7,41,99,12,6,34,4,12,13,7,13,11,45,46,12,5,17,53,11,14,16,9,11,370,7,7,205,8,7,89,64,68,7,7,14,10,82,5,20,7,7,2,20,9,19,21,41,12,8,18,10,27,7,4,42,10,7,16,30
2013,5,5,33,87,10,17,20,2,14,17,6,10,17,40,41,9,9,19,42,8,11,13,7,9,339,5,8,167,7,4,82,48,52,6,4,4,11,60,4,20,9,12,3,13,8,16,17,40,13,11,17,11,28,8,11,39,6,9,8,31
2013,6,15,35,87,10,8,21,4,7,13,3,12,10,42,44,5,9,19,44,5,9,12,15,8,357,8,6,190,3,7,92,62,79,7,11,3,5,58,5,32,11,9,6,5,14,18,12,36,19,12,21,14,28,15,4,48,5,10,24,30
2013,7,14,36,80,3,6,19,4,7,17,8,6,10,54,47,7,7,22,45,13,9,11,9,6,338,7,10,187,3,17,59,66,81,7,3,7,10,70,5,24,10,13,3,9,9,19,17,28,11,17,22,8,19,7,8,38,8,3,19,31
2013,8,8,28,75,9,12,18,4,14,12,1,9,3,44,42,11,7,17,46,13,9,11,13,11,326,10,1,154,9,7,81,76,57,6,12,9,7,86,10,22,9,7,3,13,11,21,22,29,11,9,16,9,29,10,5,31,11,5,18,31
2013,9,3,37,70,5,10,14,4,6,15,11,13,7,44,39,12,4,7,49,12,4,13,17,7,342,16,8,168,1,9,79,61,76,10,8,13,10,67,4,25,11,7,6,10,18,20,14,39,16,6,8,9,30,14,7,31,8,7,21,30
2013,10,12,42,88,17,9,21,4,8,15,7,9,10,46,47,9,10,17,46,11,6,12,12,10,374,12,7,159,6,5,78,62,68,13,11,11,7,62,8,28,8,10,2,12,6,24,11,40,11,8,20,13,36,7,7,46,6,5,11,31
2013,11,19,42,92,11,7,24,6,8,20,4,10,10,40,37,14,6,17,51,7,13,6,12,7,317,7,7,175,7,12,80,64,62,10,4,5,6,46,6,15,6,6,7,8,10,19,9,32,19,5,25,13,24,10,3,36,1,7,5,30
2013,12,12,32,99,8,9,18,4,10,8,14,16,6,64,36,13,9,12,67,11,5,8,11,12,385,10,12,210,1,7,99,69,65,9,9,8,7,72,3,17,4,10,7,14,9,30,17,32,13,11,13,19,25,11,11,54,5,7,10,31
2014,1,13,51,96,14,8,31,8,10,18,6,5,10,48,47,14,10,11,61,7,8,14,20,3,358,7,4,209,8,9,97,79,73,10,4,6,9,54,5,27,9,12,4,6,7,24,20,42,14,6,16,19,26,5,10,41,8,2,12,31
2014,2,10,36,105,10,5,16,5,11,19,4,10,13,48,36,17,8,10,59,7,15,10,11,5,372,5,6,191,3,5,92,60,81,5,12,5,14,71,8,19,8,9,3,11,13,19,17,33,16,7,19,13,35,6,4,55,9,3,15,28
2014,3,10,42,111,10,11,19,6,15,16,2,19,11,53,31,11,7,21,66,10,15,14,14,22,385,6,8,192,3,15,116,78,66,8,8,7,12,58,6,17,13,8,6,10,9,32,26,29,15,11,15,21,35,4,5,55,7,10,19,31
2014,4,18,36,102,10,6,19,2,10,12,2,17,13,48,41,14,8,15,54,9,7,10,8,10,337,7,10,185,6,6,98,74,49,5,6,4,4,65,4,14,4,13,6,11,13,19,18,51,13,4,15,13,21,8,10,41,6,8,17,30
2014,5,14,42,87,12,8,17,0,9,14,3,10,9,56,39,9,9,13,63,8,13,16,16,6,331,12,9,156,12,11,75,68,62,6,7,5,6,52,3,19,15,6,4,8,8,19,9,40,9,9,16,15,29,5,7,39,6,4,11,31
2014,6,10,30,78,7,6,8,4,15,18,2,8,12,49,37,15,8,17,41,9,8,8,13,6,343,5,7,173,3,8,70,65,82,4,6,9,12,55,6,22,8,7,6,4,14,22,22,27,11,12,20,11,35,5,4,42,6,2,13,30
2014,7,6,32,83,15,10,29,4,11,15,7,7,13,69,44,13,5,16,56,13,12,11,23,9,310,5,9,176,5,8,80,64,68,4,12,4,7,73,8,21,4,7,2,5,15,20,22,30,13,11,20,13,24,7,6,38,15,7,19,31
2014,8,14,34,101,12,11,21,8,10,18,1,9,6,48,50,10,12,18,42,13,4,12,11,7,312,6,5,183,2,9,77,68,51,6,8,3,10,62,6,19,13,9,3,6,7,17,8,39,8,7,10,10,25,9,7,38,9,1,17,31
2014,9,15,34,88,17,7,17,3,12,14,6,8,9,47,40,6,14,15,47,8,12,11,11,8,321,9,1,161,4,9,79,76,59,7,6,6,11,49,6,12,12,7,6,17,8,17,18,36,10,8,9,17,16,12,9,40,5,12,21,30
2014,10,4,38,101,17,6,11,2,10,9,9,11,19,50,55,15,9,20,59,7,12,12,10,8,357,5,7,198,10,7,71,92,73,8,8,8,3,63,6,15,13,13,8,9,9,24,16,31,10,10,19,15,32,7,8,45,12,11,18,31
2014,11,7,40,93,19,11,29,2,7,13,4,11,11,51,48,14,7,14,52,6,12,9,9,8,323,8,5,166,10,5,90,77,66,9,5,7,10,53,11,24,6,11,7,9,9,18,18,43,19,6,14,11,24,6,5,38,8,8,19,30
2014,12,14,40,86,18,9,17,8,10,10,5,12,10,43,37,15,10,11,66,9,20,5,17,12,366,7,7,206,5,15,88,61,89,6,10,8,12,65,6,20,9,17,5,4,19,22,17,30,5,11,25,10,29,10,15,41,10,17,17,31
2015,1,8,46,113,10,4,24,6,20,14,7,8,13,60,61,15,5,23,76,15,15,7,18,8,442,7,8,225,7,11,106,93,87,12,10,7,9,73,9,27,10,10,3,15,12,27,18,45,18,8,25,13,35,6,9,57,10,6,22,31
2015,2,17,42,102,8,11,21,3,13,16,5,9,10,59,52,25,6,33,66,10,19,16,15,7,344,6,1,209,9,10,104,63,88,2,13,20,20,69,9,14,11,14,6,14,21,22,19,33,17,8,13,10,25,4,5,53,10,6,13,28
2015,3,15,43,107,15,14,31,5,14,11,7,10,11,54,43,15,10,15,62,10,14,11,18,9,446,13,11,245,8,6,81,102,80,7,9,6,16,80,7,31,5,7,10,7,14,15,12,44,15,7,11,15,20,8,5,50,13,10,17,31
2015,4,9,48,95,10,11,24,9,17,16,4,13,4,51,54,14,6,20,69,14,9,20,12,11,361,11,8,240,7,11,94,80,84,12,12,3,11,60,6,30,12,10,8,5,6,12,23,41,16,6,19,12,23,7,7,47,14,8,20,30
2015,5,11,24,89,10,9,18,1,14,13,6,9,10,52,47,12,8,7,60,6,14,11,9,11,324,12,8,190,6,12,69,60,67,6,12,9,4,47,6,26,9,9,3,8,12,10,11,26,18,7,11,12,32,10,12,47,5,8,21,31
2015,6,6,35,82,9,6,16,9,8,9,2,14,7,53,45,12,8,12,43,7,9,13,13,7,298,7,16,186,1,6,72,52,69,7,10,5,11,48,5,19,8,9,6,1,6,26,12,32,17,9,11,15,24,11,3,51,8,8,18,30
2015,7,13,39,103,18,7,17,3,9,14,4,14,9,52,38,11,5,24,56,6,13,13,12,8,374,9,20,174,8,13,73,69,78,9,19,14,5,71,7,16,4,8,7,10,15,13,19,38,9,11,19,11,31,7,10,50,13,5,21,31
2015,8,12,26,108,8,6,17,3,15,16,6,13,15,50,42,16,8,14,47,8,6,5,12,5,334,9,6,170,2,13,80,76,59,3,11,5,10,55,6,21,6,9,3,11,11,16,15,35,12,11,13,19,25,14,12,44,9,9,13,31
2015,9,7,26,86,10,7,18,4,7,15,2,10,11,47,36,12,5,13,44,3,7,8,10,15,299,6,3,171,3,8,72,61,63,7,5,7,4,49,11,22,12,8,5,11,6,18,13,33,9,9,17,13,17,5,5,46,10,5,11,30
2015,10,16,37,84,11,14,16,4,15,16,3,7,16,67,50,19,11,21,63,8,10,9,4,9,358,9,6,229,6,14,77,70,72,10,19,12,19,54,9,20,7,7,3,10,21,14,11,42,14,9,9,12,21,5,7,53,10,9,15,31
2015,11,11,30,85,8,9,25,4,18,15,7,9,12,48,51,12,7,15,49,7,15,9,7,2,335,15,6,207,6,11,75,92,64,13,9,15,18,63,5,19,12,9,2,7,13,21,18,28,16,13,18,3,31,8,5,43,7,5,14,30
2015,12,16,41,105,14,11,19,6,10,19,5,7,14,51,47,13,12,14,56,9,16,10,8,13,355,13,13,178,9,9,72,72,82,5,6,10,15,59,5,28,8,8,6,10,12,15,13,34,18,8,17,12,33,12,4,63,10,3,16,31
2016,1,13,42,108,20,9,33,10,6,16,5,5,11,72,54,17,7,21,72,15,8,10,10,21,401,11,7,222,9,14,102,97,88,14,10,12,13,61,11,26,9,6,6,8,11,26,23,38,23,13,27,14,40,11,4,48,10,7,20,31
2016,2,8,36,99,23,6,27,5,8,10,5,8,11,61,44,12,7,13,74,12,9,5,11,4,365,17,5,219,6,14,100,97,86,10,9,5,12,74,6,19,5,15,6,7,8,26,19,40,13,6,7,12,26,9,10,44,16,4,25,29
2016,3,13,29,117,16,8,23,5,11,16,10,7,14,48,56,8,9,17,79,12,16,22,8,8,420,13,8,214,6,8,92,77,77,9,8,11,13,77,10,14,9,7,3,7,13,25,18,32,15,6,19,29,17,8,10,50,8,7,15,31
2016,4,13,33,99,9,7,18,4,14,15,5,14,13,51,47,12,7,22,58,11,12,10,13,6,311,12,4,183,7,8,93,70,63,5,13,4,17,63,9,22,12,9,2,11,14,20,12,39,15,12,13,15,22,6,6,52,8,8,23,30
2016,5,13,27,93,12,10,29,3,12,14,4,12,9,57,33,8,8,17,48,5,6,10,10,5,340,12,11,202,7,11,91,81,56,6,8,2,10,56,7,14,8,7,5,9,16,16,10,39,15,8,20,10,38,9,8,46,6,5,12,31
