year,week,Ajdovščina,Brežice,Celje,Cerknica,Črnomelj,Domžale,Dravograd,Gornja Radgona,Grosuplje,Hrastnik,Idrija,Ilirska Bistrica,Izola,Jesenice,Kamnik,Kočevje,Koper,Kranj,Krško,Laško,Lenart,Lendava,Litija,Ljubljana,Ljutomer,Logatec,Maribor,Metlika,Mozirje,Murska Sobota,Nova Gorica,Novo mesto,Ormož,Pesnica,Piran,Postojna,Ptuj,Radlje ob Dravi,Radovljica,Ravne na Koroškem,Ribnica,Ruše,Šentjur pri Celju,Sevnica,Sežana,Škofja Loka,Slovenj Gradec,Slovenska Bistrica,Slovenske Konjice,Šmarje pri Jelšah,Tolmin,Trbovlje,Trebnje,Tržič,Velenje,Vrhnika,Zagorje ob Savi,Žalec
2010,1,7,11,18,2,3,4,2,1,6,0,1,1,13,12,0,1,3,11,1,2,7,4,2,82,6,0,45,1,3,23,11,13,2,1,1,3,10,2,4,0,3,0,1,2,12,2,5,2,2,8,3,3,2,1,11,2,0,7
2010,2,3,8,20,3,6,2,2,5,0,2,1,0,12,15,2,2,1,17,0,1,2,1,1,77,1,1,33,0,0,14,11,15,3,0,3,2,16,1,5,0,0,3,0,1,2,3,15,2,2,3,3,7,1,1,12,3,4,0
2010,3,1,8,31,3,1,5,0,2,1,2,3,2,11,10,3,2,5,14,1,3,1,2,1,69,2,1,23,2,3,15,12,16,1,4,3,3,17,2,7,4,2,2,1,3,9,0,4,2,0,4,1,6,4,4,12,2,2,4
2010,4,2,7,22,1,2,3,1,2,3,1,1,3,17,14,2,5,3,13,2,3,4,6,1,69,3,2,57,2,4,25,11,18,2,1,1,5,15,1,2,0,3,3,3,1,7,7,6,4,1,3,1,4,2,1,11,4,2,6
2010,5,1,8,24,1,1,2,1,0,4,1,2,2,18,15,5,3,7,17,1,3,4,3,2,84,4,4,53,2,0,27,16,20,3,1,2,0,11,1,8,1,2,1,0,2,4,1,12,3,3,4,7,5,1,4,6,4,0,0
2010,6,2,7,18,3,4,4,4,6,2,0,0,5,16,10,1,4,3,16,3,2,3,2,5,56,1,3,38,2,2,22,15,17,3,3,2,2,15,1,1,1,4,1,4,3,3,5,6,3,3,7,2,3,3,1,12,3,1,3
2010,7,1,14,26,4,4,2,1,2,5,1,6,5,16,12,4,2,10,11,1,0,1,4,4,68,1,0,43,3,1,21,13,17,0,2,7,5,14,0,2,5,1,1,3,1,5,5,7,1,1,3,4,7,0,1,18,2,0,3
2010,8,3,14,27,2,1,0,1,3,3,0,1,4,10,10,5,3,6,19,3,3,5,2,2,96,2,6,45,2,4,19,18,26,1,2,3,1,22,1,8,3,3,2,3,8,3,1,8,5,7,1,4,5,1,6,19,5,2,5
2010,9,3,7,20,1,0,8,0,2,0,2,2,2,7,8,4,4,1,8,2,2,2,7,0,82,0,0,55,0,1,21,24,13,6,1,0,4,14,1,9,1,5,3,5,4,5,6,10,3,0,4,3,7,0,1,8,0,3,2
2010,10,3,9,26,1,1,3,2,2,2,2,5,0,8,14,4,1,8,18,3,0,2,3,2,69,3,4,38,2,5,12,14,17,3,0,3,3,25,2,8,0,1,0,2,3,13,3,7,2,1,2,2,9,1,0,12,3,1,2
2010,11,1,8,18,7,1,2,2,1,5,2,4,1,11,9,2,0,7,12,0,5,2,2,1,78,2,1,47,2,3,16,17,11,1,3,1,0,13,0,8,4,1,0,3,1,7,3,12,4,1,4,4,7,0,4,15,3,2,2
2010,12,2,6,26,3,0,5,0,5,2,1,2,1,16,9,4,4,5,14,2,5,4,2,2,80,1,2,34,1,1,11,15,18,0,1,3,3,11,0,12,1,3,4,2,2,8,6,8,1,0,6,1,11,3,1,9,1,3,0
2010,13,6,8,20,3,1,6,0,5,6,1,0,4,12,9,3,3,3,19,3,2,3,2,4,69,4,2,46,2,1,21,11,18,2,4,3,3,4,0,6,0,3,1,4,0,5,4,4,4,0,2,4,7,1,0,7,1,1,3
2010,14,0,12,12,3,2,4,1,5,4,0,2,2,8,7,3,3,4,12,3,5,3,2,3,86,6,2,40,2,2,24,16,17,2,4,1,3,11,3,6,1,0,0,0,4,3,1,7,0,3,4,3,7,0,1,10,4,3,1
2010,15,1,5,23,2,1,4,0,2,3,1,2,2,17,9,4,3,4,16,3,2,1,4,1,95,3,0,47,1,7,24,13,19,3,1,1,1,15,0,17,3,2,2,4,2,6,4,9,1,1,5,0,4,1,0,8,7,2,2
2010,16,1,6,34,3,1,7,2,4,2,2,3,2,4,9,2,2,3,12,3,5,1,3,1,67,0,3,50,2,3,21,15,21,1,1,2,4,10,0,7,3,2,2,2,2,2,6,8,2,2,1,2,3,1,0,8,1,5,6
2010,17,3,9,19,1,1,8,2,3,2,0,3,2,14,12,4,3,4,15,4,2,1,5,2,79,1,1,47,1,2,19,14,21,5,3,2,4,12,0,13,1,5,0,2,4,4,6,13,6,5,1,2,8,1,1,18,1,3,6
2010,18,6,7,23,0,1,2,0,3,3,4,1,4,5,6,4,2,4,11,5,2,5,1,3,79,3,2,38,2,3,9,10,17,2,0,1,3,19,3,6,0,4,1,1,2,7,5,13,3,2,0,4,11,2,3,15,2,1,4
2010,19,4,10,27,1,3,1,3,1,4,3,3,0,6,10,3,1,2,16,2,3,2,2,4,81,2,2,44,1,2,16,14,20,1,1,0,3,15,1,12,1,1,1,1,0,2,5,10,4,4,2,2,5,2,2,7,1,0,2
2010,20,0,8,23,0,2,9,0,0,4,1,1,5,4,10,2,2,5,7,0,3,3,3,3,74,5,1,38,2,5,16,19,13,3,3,1,1,13,2,23,1,2,3,0,1,5,9,5,1,0,4,3,4,1,0,11,4,2,1
2010,21,0,13,15,3,1,3,0,2,1,2,2,4,7,9,2,1,5,13,1,3,0,3,3,66,0,3,41,0,3,20,9,14,1,0,1,2,19,1,15,2,1,1,1,2,5,6,9,3,2,6,0,5,2,1,12,0,4,4
2010,22,3,13,21,5,4,1,0,3,0,2,2,1,9,11,3,5,3,18,1,7,2,4,4,72,6,1,39,3,3,20,13,10,3,3,0,4,14,2,6,3,1,1,1,4,4,4,7,1,3,5,2,2,2,0,16,2,2,3
2010,23,6,6,19,3,2,2,3,6,5,1,3,1,8,13,2,3,5,23,0,3,4,4,1,82,2,2,58,2,3,18,13,13,2,1,0,0,16,3,15,1,3,1,4,1,4,6,7,8,2,3,3,1,3,0,14,1,2,7
2010,24,4,3,22,2,2,7,2,1,2,1,0,2,12,10,6,3,5,16,2,2,2,5,0,71,6,0,41,2,3,18,14,10,0,1,0,4,17,2,2,2,0,1,1,1,5,5,6,2,1,5,3,2,1,0,11,4,2,3
2010,25,4,5,25,1,5,3,0,0,3,0,7,2,5,7,1,3,2,19,1,2,1,1,2,75,2,1,35,2,3,13,11,15,1,3,1,5,10,0,1,2,0,1,1,1,2,7,4,1,0,3,1,4,0,3,10,3,2,5
2010,26,4,2,18,3,3,4,1,1,5,3,2,4,13,12,2,4,1,11,2,2,1,8,1,96,1,2,45,2,5,14,19,22,4,3,0,2,14,2,7,2,2,2,1,2,7,2,5,2,3,3,1,2,1,2,8,1,1,1
2010,27,2,9,16,2,1,8,0,3,6,1,4,0,10,10,4,4,4,12,2,2,3,5,1,73,1,0,37,8,4,13,11,14,0,2,0,2,13,1,11,3,6,1,0,5,8,2,10,4,1,6,0,3,3,1,16,0,3,3
2010,28,4,9,29,2,2,4,2,3,1,1,1,2,19,18,1,1,2,12,6,1,3,1,3,88,4,1,36,2,6,17,14,13,6,2,6,2,19,2,2,1,1,0,1,2,6,5,8,3,1,6,4,3,0,1,13,2,1,2
2010,29,1,2,21,2,0,6,0,7,1,1,2,2,9,13,1,4,3,12,3,2,2,1,1,90,3,0,43,2,1,21,11,13,2,1,2,5,11,3,4,3,0,3,2,1,3,2,4,0,1,5,4,6,4,2,7,3,1,2
2010,30,5,10,28,2,1,9,0,3,2,0,5,0,15,5,2,1,1,11,1,2,3,7,1,78,2,2,34,1,2,10,13,15,0,3,3,2,9,0,2,1,2,2,0,1,2,1,5,3,1,3,1,5,1,2,11,4,0,2
2010,31,5,15,25,2,4,5,2,2,3,1,1,0,6,8,2,4,3,17,4,4,2,4,1,65,2,1,33,2,3,16,14,8,1,1,3,1,15,2,12,0,3,0,3,5,5,2,3,5,0,2,3,2,1,1,11,2,0,2
2010,32,5,4,23,3,2,2,1,0,6,0,3,2,14,5,3,1,1,14,4,3,0,3,1,72,5,1,28,1,3,15,10,21,1,0,4,6,18,0,3,1,5,1,2,1,10,3,12,2,3,2,4,3,2,1,10,2,1,5
2010,33,2,7,17,2,2,5,2,2,2,1,2,1,12,7,5,6,2,10,1,1,6,3,1,71,1,0,34,0,2,20,7,8,0,1,1,0,12,0,1,3,3,0,1,1,3,2,8,5,4,1,3,7,1,1,9,2,2,1
