ue.name,deceased,average,excess
Ajdovščina,140,151,-7.284768211920534
Brežice,529,433.2,22.11449676823638
Celje,1594,1229.4,29.65674312672848
Cerknica,164,137.4,19.359534206695784
Črnomelj,152,126.6,20.063191153238556
Domžale,355,278.2,27.606038820992108
Dravograd,94,66.8,40.718562874251504
Gornja Radgona,171,135.4,26.292466765140322
Grosuplje,231,166.2,38.98916967509025
Hrastnik,68,65.8,3.3434650455927084
Idrija,114,119.6,-4.682274247491636
Ilirska Bistrica,127,135.8,-6.480117820324017
Izola,689,646.2,6.623336428350357
Jesenice,672,566,18.727915194346288
Kamnik,186,154.8,20.155038759689916
Kočevje,128,99.6,28.514056224899598
Koper,340,253.6,34.069400630914835
Kranj,847,699.2,21.138443935926766
Krško,136,112.2,21.212121212121215
Laško,139,124.8,11.378205128205131
Lenart,137,128.2,6.864274570982842
Lendava,161,130.4,23.46625766871164
Litija,177,109.2,62.08791208791209
Ljubljana,4905,4353.4,12.670556346763462
Ljutomer,129,117.4,9.880749574105607
Logatec,107,94.4,13.347457627118642
Maribor,2843,2447.4,16.16409250633324
Metlika,88,74.2,18.59838274932615
Mozirje,127,120.2,5.657237936772042
Murska Sobota,1255,1045,20.095693779904302
Nova Gorica,967,876.2,10.362930837708273
Novo mesto,1027,906.4,13.305383936451909
Ormož,124,103.2,20.155038759689916
Pesnica,131,111.4,17.594254937163377
Piran,128,96.6,32.50517598343685
Postojna,164,134.8,21.66172106824924
Ptuj,882,720.4,22.431982232093283
Radlje ob Dravi,81,83.4,-2.877697841726623
Radovljica,304,253.6,19.873817034700323
Ravne na Koroškem,151,111.4,35.547576301615806
Ribnica,131,109.2,19.96336996336996
Ruše,92,60.4,52.317880794701985
Šentjur pri Celju,93,91.6,1.5283842794759916
Sevnica,172,140.6,22.332859174964437
Sežana,326,241,35.269709543568474
Škofja Loka,274,205.4,33.39824732229795
Slovenj Gradec,546,437.8,24.7144814984011
Slovenska Bistrica,171,179.2,-4.575892857142849
Slovenske Konjice,124,117.2,5.802047781569963
Šmarje pri Jelšah,230,184.4,24.728850325379614
Tolmin,157,145.6,7.829670329670324
Trbovlje,368,343.2,7.226107226107237
Trebnje,127,95.6,32.845188284518834
Tržič,99,85.4,15.925058548009364
Velenje,547,555.2,-1.4769452449567844
Vrhnika,182,124.8,45.83333333333333
Zagorje ob Savi,111,90.6,22.51655629139073
Žalec,263,202.2,30.06923837784372
