region.name,deceased,average,excess
Gorenjska,2196,1809.6,21.35278514588861
Goriška,1378,1292.4,6.623336428350357
Jugovzhodna Slovenija,1653,1411.6,17.101161802210264
Koroška,872,699.4,24.678295682013164
Obalno-kraška,1483,1237.4,19.848068530790353
Osrednjeslovenska,5966,5171.8,15.356355620867014
Podravska,4380,3750.2,16.793770998880063
Pomurska,1716,1428.2,20.15123932222378
Posavska,837,686,22.011661807580186
Primorsko-notranjska,455,408,11.519607843137258
Savinjska,3117,2625,18.74285714285715
Zasavska,724,608.8,18.922470433639948
