month,2015,2016,2017,2018,2019,2020,mean,covid.deaths,daily,excess,covid
1,62,62.67741935483871,78.2258064516129,59.225806451612904,70.83870967741936,65.6774193548387,66.59354838709677,NA,NA,-1.3757023832590698,NA
2,63.107142857142854,60.3448275862069,71.03571428571429,66.60714285714286,71.78571428571429,67.37931034482759,66.57610837438423,NA,NA,1.2064417552414275,NA
3,61.645161290322584,58.87096774193548,57.74193548387097,66.03225806451613,62.61290322580645,62.12903225806452,61.380645161290325,NA,NA,1.2192558335085257,NA
4,59,53.2,52.766666666666666,57,56.7,60.233333333333334,55.733333333333334,78,2.6,8.074162679425845,4.6650717703349285
5,48.516129032258064,50.96774193548387,51.483870967741936,50.83870967741935,54.903225806451616,52.806451612903224,51.34193548387097,17,0.5483870967741935,2.852475496355855,1.0681075647147522
6,48,48.63333333333333,48.8,49.333333333333336,51,55.3,49.153333333333336,3,0.1,12.505086125050857,0.20344500203445
7,53.61290322580645,48.935483870967744,49.225806451612904,49.74193548387097,53,52.483870967741936,50.903225806451616,8,0.25806451612903225,3.105196451204062,0.5069708491761723
8,49.12903225806452,48.54838709677419,50.193548387096776,52.87096774193548,53.83870967741935,53.87096774193548,50.91612903225806,14,0.45161290322580644,5.803345159655349,0.8869741510390269
9,46.13333333333333,50.03333333333333,50.1,52.8,52.766666666666666,57.333333333333336,50.36666666666667,17,0.5666666666666667,13.831899404367975,1.1250827266710788
10,54.29032258064516,54.516129032258064,53.45161290322581,55.225806451612904,54.225806451612904,67.80645161290323,54.34193548387097,188,6.064516129032258,24.777395227353672,11.159919268669121
11,53.6,52.43333333333333,55.233333333333334,54.4,55.6,NA,54.25333333333333,955,31.833333333333332,NA,58.67535020889654
12,53.54838709677419,56.45161290322581,56.87096774193548,60.064516129032256,61.903225806451616,NA,57.76774193548387,NA,NA,NA,NA
